weight_unit : Единица веса;name : Название;weight : Вес;article : Артикул;amount : Количество;price : Цена;vendor : Производитель;folder : Категория;image : Иллюстрация
кг;Кулер для воды TD-AEL-47 black/silver; 0.7;Артикул: 00310;ожидается 15.07;6000;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/247/500_500_1/nc1gvf5s9ya3k70i8piqligtckjb2vbk.jpg,https://akva-mir.ru/upload/resize_cache/iblock/77d/500_500_1/9vts85hal2ih55junrpz2qyb4xyg98sb.jpg,https://akva-mir.ru/upload/resize_cache/iblock/527/500_500_1/xbs04nfl0qwrv0ihi0o34ggecc3vntnq.jpg,https://akva-mir.ru/upload/resize_cache/iblock/f8e/500_500_1/b4wyk9xxspmfthareiurclyqs2vggy36.jpg,https://akva-mir.ru/upload/resize_cache/iblock/4b5/500_500_1/nwi7mimy1qol3sln7dgbmxywmcoi2epf.jpg,https://akva-mir.ru/upload/resize_cache/iblock/5c6/500_500_1/uuv35vyaukdh7c04l1ecqgvrfxsdxldm.jpg,https://akva-mir.ru/upload/resize_cache/iblock/1b6/500_500_1/cu9zbpexbf11rqh08bbeildqqgyn8v5h.jpg,
кг;Кулер для воды T-AEL-103; 0.67;Артикул: 00365;11;870;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/63c/500_500_1/373u6815sg3orb6abz6j9xneitjbi0rp.jpg,https://akva-mir.ru/upload/resize_cache/iblock/4ba/500_500_1/m9i29b068m6cyc39d86yp5hej1yhut99.jpg,https://akva-mir.ru/upload/resize_cache/iblock/4a6/500_500_1/ythcaugggaxtc03ocyf887wgua0idd4r.jpg,https://akva-mir.ru/upload/resize_cache/iblock/439/500_500_1/tde90jlklri2xsmuygz4vow1ssfmn375.jpg,https://akva-mir.ru/upload/resize_cache/iblock/dd6/500_500_1/icjccfbmhx5eb7zko8yz9gxc1jktt19m.jpg,https://akva-mir.ru/upload/resize_cache/iblock/27e/500_500_1/gsqo7k3tc5gbkx54f6ccngezsq8e5cbs.jpg,https://akva-mir.ru/upload/resize_cache/iblock/17c/500_500_1/tdvzip661pg33agkuc0wv5ci8x95jm9v.jpg,https://akva-mir.ru/upload/resize_cache/iblock/a68/500_500_1/20o556vir2d6akgo5dt2qiq0xe3jnugj.jpg,https://akva-mir.ru/upload/resize_cache/iblock/c44/500_500_1/3e55p9m16aehd7tq0kgii40mlgg0xopo.jpg,https://akva-mir.ru/upload/resize_cache/iblock/14b/500_500_1/axhz3pcxzsiv3vmajam1853mjfe3botv.jpg,
кг;Кулер для воды TK-AEL-720; 2.31;Артикул: 00210;отсутствует;2500;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/870/500_500_1/mxllcj1t08y91fnpqzsmxev9r7qxam5u.jpg,https://akva-mir.ru/upload/resize_cache/iblock/193/500_500_1/s340ektsks2aj7x3ejf6whhafaumw1nq.jpg,
кг;Кулер для воды TD-AEL-36 v.2; 0.7;Артикул: 00200;6;4250;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/406/500_500_1/d9ovprixi4j9q55xyr2tkwbmhp730ia1.jpg,https://akva-mir.ru/upload/resize_cache/iblock/425/500_500_1/kp1fy0t5hj9w0ss3bwc7lenfpwcf7cwh.jpg,
кг;Кулер для воды TK-AEL-340 v.2'; 2.45;Артикул: 00237;отсутствует;2895;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/235/500_500_1/00h3nk6624zm1g6avj1njdscve10xmh3.jpg,https://akva-mir.ru/upload/resize_cache/iblock/e7f/500_500_1/raar4wc7i1qbzo4cdnv0bob405x2akz9.jpg,
кг;Кулер для  воды TC-AEL-390; 10.26;Артикул: 00108;отсутствует;7000;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/4c4/500_500_1/xmxoqewy482sf99re56vpvin3l9gcrl4.jpg,https://akva-mir.ru/upload/resize_cache/iblock/c5a/500_500_1/1evtrj6iuv6kex41ayuc8pfxasaziy1z.jpg,
кг;Кулер для воды TK-AEL-36; 2.59;Артикул: 00145;отсутствует;3185;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/3ea/500_500_1/qbahazv8x8nxv08z9k1h8oy7xqo36g5z.jpg,https://akva-mir.ru/upload/resize_cache/iblock/d0d/500_500_1/mu5di0h4hlwda4wre8dj9h5aqnafcvgz.jpg,
кг;Кулер для воды TD-AEL-321 white; 0.5;Артикул: 00126;отсутствует;3990;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/406/500_500_1/o7hezromd30ty2az9m3g40u34frz59yk.jpg,https://akva-mir.ru/upload/resize_cache/iblock/d54/500_500_1/2du28opubk4ld178cyutoqwfrqoquv1k.jpg,https://akva-mir.ru/upload/resize_cache/iblock/7c0/500_500_1/7x6cwqib13rsp084kwe262cyc2rb4atd.jpg,
кг;Кулер для воды LB-ТWB 0,5-5Т32 m; 0.5;Артикул: 00225;отсутствует;3990;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/72e/500_500_1/493s5qendsy2rencthj8k3qq1ht9zp8n.jpg,
кг;Кулер для воды MYL 31Т (II); 12.51;Артикул: 00147;4;8000;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/iblock/9ef/rd3eqw2qvuryehsx2u1zt8pd3hg82n22.jpg,
кг;Кулер для воды YLRT 2-5K silver; 12.07;Артикул: 00143;отсутствует;8000;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/c7b/500_500_1/gy5gutsry4846d0u4qef90odr17n7bzz.jpg,https://akva-mir.ru/upload/resize_cache/iblock/f53/500_500_1/qtquywzz5ct2bpe88numi8d5zgit5yld.jpg,
кг;Кулер для воды TD-AEL-183a white; 0.8;Артикул: 00133;отсутствует;4200;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/64c/500_500_1/0d0q1jfaem0igei55lemfypgzza3pq1i.jpg,https://akva-mir.ru/upload/resize_cache/iblock/95e/500_500_1/2w4clsoa184c4c1xplkfu422pdx0cv8p.jpg,https://akva-mir.ru/upload/resize_cache/iblock/3af/500_500_1/l4hwaqn6vqh95e4z1io4xc3bpeh6leya.jpg,
кг;Кулер для воды TD-AEL-172 black; 0.7;Артикул: 00130;отсутствует;4960;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/097/500_500_1/2shu27dk7hecdke0whshpqddzb8n8f1r.jpg,https://akva-mir.ru/upload/resize_cache/iblock/124/500_500_1/qz087z32uuwogrzu2y5gk72qivd9wfi9.jpg,
кг;Кулер для воды YLR 2-5-X 16 Т/HL silver; 11.44;Артикул: 00142;отсутствует;8999;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/535/500_500_1/69ese1y8s73td82kqv0afqp74ze75705.jpg,https://akva-mir.ru/upload/resize_cache/iblock/95a/500_500_1/oagjjrcu93w2d5h2b1v7x2r42a3r0ky2.jpg,
кг;Кулер для воды TD-AEL-131 silver; 0.7;Артикул: 00129;отсутствует;5400;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/9ff/500_500_1/z1qsav2zfzocw9p6x2mbalpcb8am3nqo.jpg,https://akva-mir.ru/upload/resize_cache/iblock/c48/500_500_1/m563eebc6jdfletjn36g1e11h6bu47no.jpg,
кг;Кулер для воды TD-AEL-131  red; 0.7;Артикул: 00128;отсутствует;4200;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/22b/500_500_1/m76v0m073i7tkhqf3kxwdrxcpbyy2cls.jpg,https://akva-mir.ru/upload/resize_cache/iblock/bc3/500_500_1/kc6wgwjr8us4j9hcqvl9jj2izp35vqg3.jpg,
кг;Кулер для воды TD-AEL-112; 0.8;Артикул: 00127;отсутствует;5390;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/de6/500_500_1/1ioa43s00dc22sk2g3f2esy5512pye8e.jpg,https://akva-mir.ru/upload/resize_cache/iblock/161/500_500_1/xw58678f6uazpexb74pqls0ozxpdh3js.jpg,
кг;Кулер для воды TK-AEL-110 white; 1.8;Артикул: 00138;отсутствует;1750;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/d1e/500_500_1/6kvvncl8izcat6gd3fx43ie2xqqflqgn.jpg,https://akva-mir.ru/upload/resize_cache/iblock/064/500_500_1/s4h4nbzvsebo5eloyx0w5kdcuqklirw0.jpg,https://akva-mir.ru/upload/resize_cache/iblock/219/500_500_1/tbcd3zz27yfazeqgahw1ceqne3qlan5x.jpg,
кг;Кулер для воды TК-AEL-110 white-green; 1.8;Артикул: 00137;8;нет цены;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/472/500_500_1/ja31z5xq7q9r2oejv6ij6m2mykojn0ff.jpg,
кг;Кулер для  воды TK-AEL-108 blue; 1.93;Артикул: 00111;отсутствует;2925;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/277/500_500_1/9vqrvzlsk6t8y3xkfvp8yvy483euva3s.jpg,https://akva-mir.ru/upload/resize_cache/iblock/6f4/500_500_1/5ddhx6ygif3nk59b8jgpwz59j4ra0jhs.jpg,
кг;Кулер для  воды TK-AEL-106; 2.11;Артикул: 00110;ожидается 23.07;2500;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/22f/500_500_1/19yyqmdtwbch8hg3kfyjyutgiygzpow7.jpg,https://akva-mir.ru/upload/resize_cache/iblock/2f4/500_500_1/6qudmzs740fveuq7rc1n35tn9h37vkj7.jpg,https://akva-mir.ru/upload/resize_cache/iblock/fe0/500_500_1/x47rjafwkj2ssa8m5ylrtjhbj2t0u3md.jpg,https://akva-mir.ru/upload/resize_cache/iblock/7a9/500_500_1/e1xne75ru0j6a7apkaunh1rb55f78mzr.jpg,https://akva-mir.ru/upload/resize_cache/iblock/2a7/500_500_1/hs01u2dsqajh8p6l8sj2dj1sp2t14q9u.jpg,https://akva-mir.ru/upload/resize_cache/iblock/e21/500_500_1/zwupgadgplx0labx1th81ymwg1ew6wn9.jpg,https://akva-mir.ru/upload/resize_cache/iblock/3bc/500_500_1/ae3b0vd5qx07abrxedqxpgy1o6ajec8p.jpg,https://akva-mir.ru/upload/resize_cache/iblock/2eb/500_500_1/oquzchrn27722aqlgea0qgu8v05ics0h.jpg,https://akva-mir.ru/upload/resize_cache/iblock/9c9/500_500_1/bbosmg3mzhkqd96xtj02nj9bdk8d6v7e.jpg,https://akva-mir.ru/upload/resize_cache/iblock/0b7/500_500_1/lukcqpuc18r7zfu92k0lb3yehsd4pitj.jpg,https://akva-mir.ru/upload/resize_cache/iblock/e2e/500_500_1/fn93ao4qpuq3qi3hxyy0gbmq6i5vksju.jpg,https://akva-mir.ru/upload/resize_cache/iblock/42b/500_500_1/4x9844dk1qim2tf7wr1yyy82oeijbrd5.jpg,https://akva-mir.ru/upload/resize_cache/iblock/d11/500_500_1/crpj0llxrv0bwznw07illz39oekqceba.jpg,https://akva-mir.ru/upload/resize_cache/iblock/c72/500_500_1/u75r71210fjk3z6dps0nkzp1p1yb0jf8.jpg,https://akva-mir.ru/upload/resize_cache/iblock/738/500_500_1/a4voez4567pfm1lh282pdzrrjyge4thy.jpg,https://akva-mir.ru/upload/resize_cache/iblock/e1a/500_500_1/mrecxg0wgs5mmg2eoam181z8ai55we97.jpg,
кг;Кулер для воды TD-AEL-106; 2.82;Артикул: 00109;ожидается 23.07;4470;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/1fc/500_500_1/zdbzj0mj691at2j57d20gw0m3ou6zvby.jpg,
кг;Кулер для воды TD-AEL-320 silver; 0.5;Артикул: 00193;отсутствует;3990;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/3d4/500_500_1/i13d807o74inz0hl2aycrhwvr9vnflhm.jpg,
кг;Кулер для воды TD-AEL-340; 0.7;Артикул: 00134;отсутствует;3750;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/b43/500_500_1/upy1k32glcoougudl3v2xzr0nc223jmk.jpg,
кг;Кулер для воды ТC-AEL-17; 11.44;Артикул: 00141;отсутствует;8000;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/7c0/500_500_1/6qo4suwrjfu112x9sas1exrseb3oftfu.jpg,
кг;Кулер для воды TD-AEL-68 black УЦЕНКА; 2.75;Артикул: 00283;отсутствует;4270;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/3da/500_500_1/hp7k6yfbjny786ey3yhw0q82fp4gz33d.jpg,https://akva-mir.ru/upload/resize_cache/iblock/e4c/500_500_1/tlb8ce8go551cchhanvo63wp6hgmxr94.jpg,https://akva-mir.ru/upload/resize_cache/iblock/b5c/500_500_1/2sann24k4n0qj30h56t5angz9tok0gjf.jpg,
кг;Кулер для воды T-AEL-102; 0.9;Артикул: 00235;5;825;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/ee8/500_500_1/3njqg78k153bw9j6f89rz81edkybqm01.jpg,https://akva-mir.ru/upload/resize_cache/iblock/ebf/500_500_1/9we493t4w1wbpg4e0o6hw41gl70mvt69.jpg,
кг;Кулер для воды TC-AEL-31 silver; 11.93;Артикул: 00189;отсутствует;10500;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/0a0/500_500_1/mo37l0ittggsbzcz7nsm5zft99t8lx1n.jpg,https://akva-mir.ru/upload/resize_cache/iblock/459/500_500_1/66kwh20tukych8oc2nhl5q3jdngp5qbz.jpg,
кг;Кулер для воды TK-AEL-340 v.2; 2.45;Артикул: 00191;5;2800;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/005/500_500_1/htg2bnfzr6qj4m062n081sblzxefz6oy.jpg,https://akva-mir.ru/upload/resize_cache/iblock/5b2/500_500_1/73twwwvs1i9ktrwec4q3he21jgao3662.jpg,
кг;Кулер для воды TD-AEL-340 v.2; 0.7;Артикул: 00202;8;4150;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/7ed/500_500_1/btusx66d1ii0w066ziwcafukfyl0xein.jpg,https://akva-mir.ru/upload/resize_cache/iblock/28e/500_500_1/yk9je7hhnzsvtxusfqog700jqtwfzu2t.jpg,
кг;Кулер для  воды TК-AEL-522; 4.5;Артикул: 00113;отсутствует;нет цены;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/3c5/500_500_1/owgure01lpyd4dvpgly8hfhfcannoagm.jpg,https://akva-mir.ru/upload/resize_cache/iblock/8d0/500_500_1/alynzrxpge51fiwt1u622184gcq576uj.jpg,
